Date,Time,Left,Right
01/11/2013,00:00:00,0.177492877,0.290074519
01/11/2013,00:05:00,0.172965925,0.292285143
01/11/2013,00:10:00,0.178203164,0.301364681
01/11/2013,00:15:00,0.172851508,0.301027417
01/11/2013,00:20:00,0.166703219,0.295947746
01/11/2013,00:25:00,0.165380956,0.294840081
01/11/2013,00:30:00,0.16334329,0.2863978
01/11/2013,00:35:00,0.160159047,0.296151857
01/11/2013,00:40:00,0.159715396,0.275539063
01/11/2013,00:45:00,0.146274855,0.275636457
01/11/2013,00:50:00,0.143853365,0.282558566
01/11/2013,00:55:00,0.151919322,0.273102792
01/11/2013,01:00:00,0.150266191,0.274834618
01/11/2013,01:05:00,0.156393372,0.273369957
01/11/2013,01:10:00,0.155089429,0.271872939
01/11/2013,01:15:00,0.153103824,0.265716068
01/11/2013,01:20:00,0.152263304,0.274524853
01/11/2013,01:25:00,0.149555433,0.273602176
01/11/2013,01:30:00,0.142815379,0.274978596
01/11/2013,01:35:00,0.131465003,0.275710416
01/11/2013,01:40:00,0.124591105,0.275498387
01/11/2013,01:45:00,0.121147322,0.268655297
01/11/2013,01:50:00,0.111003054,0.25663397
01/11/2013,01:55:00,0.112176405,0.246380545
01/11/2013,02:00:00,0.109603143,0.234540181
01/11/2013,02:05:00,0.107975685,0.228742406
01/11/2013,02:10:00,0.113929883,0.22010576
01/11/2013,02:15:00,0.114002675,0.218808558
01/11/2013,02:20:00,0.11739076,0.229167081
01/11/2013,02:25:00,0.122328218,0.234363459
01/11/2013,02:30:00,0.12232469,0.233291494
01/11/2013,02:35:00,0.124522495,0.234751678
01/11/2013,02:40:00,0.115043166,0.228063279
01/11/2013,02:45:00,0.119737035,0.229418115
01/11/2013,02:50:00,0.128237267,0.219320138
01/11/2013,02:55:00,0.132823286,0.205082093
01/11/2013,03:00:00,0.127382255,0.192284395
01/11/2013,03:05:00,0.125296823,0.179628851
01/11/2013,03:10:00,0.125766213,0.172239423
01/11/2013,03:15:00,0.126120921,0.164650713
01/11/2013,03:20:00,0.117125203,0.153417767
01/11/2013,03:25:00,0.121520528,0.152454916
01/11/2013,03:30:00,0.121770229,0.155804046
01/11/2013,03:35:00,0.119820412,0.154771395
01/11/2013,03:40:00,0.115675142,0.14967221
01/11/2013,03:45:00,0.114969393,0.150544065
01/11/2013,03:50:00,0.115576339,0.147654772
01/11/2013,03:55:00,0.115325891,0.144110812
01/11/2013,04:00:00,0.114180533,0.145029797
01/11/2013,04:05:00,0.114326848,0.139074585
01/11/2013,04:10:00,0.114368394,0.130370425
01/11/2013,04:15:00,0.114804937,0.122737637
01/11/2013,04:20:00,0.118162815,0.118916344
01/11/2013,04:25:00,0.118712108,0.122327065
01/11/2013,04:30:00,0.113842916,0.128604829
01/11/2013,04:35:00,0.117468525,0.137951435
01/11/2013,04:40:00,0.122547822,0.141684156
01/11/2013,04:45:00,0.121082511,0.136197756
01/11/2013,04:50:00,0.121781471,0.134421194
01/11/2013,04:55:00,0.126857146,0.134412958
01/11/2013,05:00:00,0.123973973,0.134330691
01/11/2013,05:05:00,0.129615096,0.140773239
01/11/2013,05:10:00,0.12728303,0.14487607
01/11/2013,05:15:00,0.133291555,0.153215573
01/11/2013,05:20:00,0.13787421,0.161351043
01/11/2013,05:25:00,0.137343332,0.159324378
01/11/2013,05:30:00,0.140154467,0.158649703
01/11/2013,05:35:00,0.144796083,0.161478348
01/11/2013,05:40:00,0.139234434,0.175377128
01/11/2013,05:45:00,0.136427708,0.182062971
01/11/2013,05:50:00,0.132911817,0.186080187
01/11/2013,05:55:00,0.13344782,0.18118963
01/11/2013,06:00:00,0.1326517,0.178485808
01/11/2013,06:05:00,0.122938952,0.173554454
01/11/2013,06:10:00,0.125950204,0.173290683
01/11/2013,06:15:00,0.115064695,0.172496618
01/11/2013,06:20:00,0.119288013,0.178516679
01/11/2013,06:25:00,0.119581508,0.187443711
01/11/2013,06:30:00,0.120452378,0.193255588
01/11/2013,06:35:00,0.129998988,0.196309036
01/11/2013,06:40:00,0.130296926,0.20584762
01/11/2013,06:45:00,0.134906032,0.202685338
01/11/2013,06:50:00,0.138410256,0.202990914
01/11/2013,06:55:00,0.152327518,0.205346257
01/11/2013,07:00:00,0.157437297,0.200643755
01/11/2013,07:05:00,0.162304334,0.197497673
01/11/2013,07:10:00,0.161280524,0.191230605
01/11/2013,07:15:00,0.165726824,0.179290654
01/11/2013,07:20:00,0.163151141,0.16713449
01/11/2013,07:25:00,0.155015921,0.162282156
01/11/2013,07:30:00,0.147077048,0.153691966
01/11/2013,07:35:00,0.149014441,0.143990922
01/11/2013,07:40:00,0.146638548,0.136560273
01/11/2013,07:45:00,0.139289843,0.130747778
01/11/2013,07:50:00,0.138181714,0.117743747
01/11/2013,07:55:00,0.131254845,0.112283176
01/11/2013,08:00:00,0.129763984,0.113715043
01/11/2013,08:05:00,0.122163752,0.098748577
01/11/2013,08:10:00,0.12384424,0.094853171
01/11/2013,08:15:00,0.118356629,0.089517479
01/11/2013,08:20:00,0.113091219,0.081988467
01/11/2013,08:25:00,0.106326864,0.083443839
01/11/2013,08:30:00,0.104974512,0.079934884
01/11/2013,08:35:00,0.101099112,0.076971522
01/11/2013,08:40:00,0.094596745,0.07590836
01/11/2013,08:45:00,0.092153012,0.072826058
01/11/2013,08:50:00,0.093162313,0.073261446
01/11/2013,08:55:00,0.087291947,0.075179965
01/11/2013,09:00:00,0.079347062,0.075680629
01/11/2013,09:05:00,0.079354355,0.081970809
01/11/2013,09:10:00,0.084206759,0.080265621
01/11/2013,09:15:00,0.081897249,0.084956992
01/11/2013,09:20:00,0.086543657,0.078124416
01/11/2013,09:25:00,0.088744902,0.087831742
01/11/2013,09:30:00,0.082338347,0.080278171
01/11/2013,09:35:00,0.081774126,0.089055943
01/11/2013,09:40:00,0.084819173,0.086225908
01/11/2013,09:45:00,0.083314542,0.08880484
01/11/2013,09:50:00,0.083600151,0.101215336
01/11/2013,09:55:00,0.086264695,0.095994762
01/11/2013,10:00:00,0.086915817,0.101804447
01/11/2013,10:05:00,0.091680098,0.108439641
01/11/2013,10:10:00,0.088509087,0.108864153
01/11/2013,10:15:00,0.089810073,0.116567071
01/11/2013,10:20:00,0.087284283,0.130698367
01/11/2013,10:25:00,0.092596878,0.130825863
01/11/2013,10:30:00,0.073798112,0.123010243
01/11/2013,10:35:00,0.075909017,0.134146309
01/11/2013,10:40:00,0.060375924,0.118565305
01/11/2013,10:45:00,0.06901921,0.117375812
01/11/2013,10:50:00,0.061579458,0.113476484
01/11/2013,10:55:00,0.066630725,0.111421496
01/11/2013,11:00:00,0.069142945,0.125482179
01/11/2013,11:05:00,0.062816326,0.133375711
01/11/2013,11:10:00,0.0608148,0.125177824
01/11/2013,11:15:00,0.06606027,0.118642303
01/11/2013,11:20:00,0.07251605,0.130957312
01/11/2013,11:25:00,0.070932993,0.136323943
01/11/2013,11:30:00,0.072135969,0.137430369
01/11/2013,11:35:00,0.068328656,0.142542941
01/11/2013,11:40:00,0.067206466,0.129759615
01/11/2013,11:45:00,0.066586985,0.142069908
01/11/2013,11:50:00,0.07382379,0.146669199
01/11/2013,11:55:00,0.063714587,0.142943813
01/11/2013,12:00:00,0.083096202,0.143464292
01/11/2013,12:05:00,0.07769144,0.13340385
01/11/2013,12:10:00,0.072901625,0.119839742
01/11/2013,12:15:00,0.08565542,0.115381928
01/11/2013,12:20:00,0.073228598,0.11241786
01/11/2013,12:25:00,0.074424901,0.118892816
01/11/2013,12:30:00,0.079652369,0.108539509
01/11/2013,12:35:00,0.073226125,0.098388003
01/11/2013,12:40:00,0.069344615,0.09612087
01/11/2013,12:45:00,0.061230279,0.078581894
01/11/2013,12:50:00,0.068567074,0.084136004
01/11/2013,12:55:00,0.078674525,0.083002547
01/11/2013,13:00:00,0.074118826,0.076671256
01/11/2013,13:05:00,0.084186219,0.083838261
01/11/2013,13:10:00,0.091449153,0.073922441
01/11/2013,13:15:00,0.079656381,0.0925416
01/11/2013,13:20:00,0.078369094,0.091438815
01/11/2013,13:25:00,0.074470909,0.077705176
01/11/2013,13:30:00,0.070306406,0.088624511
01/11/2013,13:35:00,0.073683798,0.079917651
01/11/2013,13:40:00,0.071495973,0.099035358
01/11/2013,13:45:00,0.073296224,0.07877881
01/11/2013,13:50:00,0.077239347,0.076972227
01/11/2013,13:55:00,0.070771894,0.088438555
01/11/2013,14:00:00,0.065563336,0.103931909
01/11/2013,14:05:00,0.079040731,0.085606804
01/11/2013,14:10:00,0.072682716,0.081966919
01/11/2013,14:15:00,0.071436182,0.084633433
01/11/2013,14:20:00,0.077617368,0.094274155
01/11/2013,14:25:00,0.088622494,0.090939147
01/11/2013,14:30:00,0.093383455,0.090156648
01/11/2013,14:35:00,0.081773625,0.08173773
01/11/2013,14:40:00,0.085820052,0.092787155
01/11/2013,14:45:00,0.101637255,0.097763124
01/11/2013,14:50:00,0.092718145,0.116406977
01/11/2013,14:55:00,0.100970953,0.106311321
01/11/2013,15:00:00,0.110065556,0.102940449
01/11/2013,15:05:00,0.105109355,0.126842065
01/11/2013,15:10:00,0.1184552,0.130735333
01/11/2013,15:15:00,0.100590154,0.11897854
01/11/2013,15:20:00,0.10834594,0.115276113
01/11/2013,15:25:00,0.100719936,0.099461324
01/11/2013,15:30:00,0.106576113,0.12337218
01/11/2013,15:35:00,0.106655586,0.112593016
01/11/2013,15:40:00,0.108242333,0.133215348
01/11/2013,15:45:00,0.138335837,0.132165464
01/11/2013,15:50:00,0.118139928,0.123671592
01/11/2013,15:55:00,0.135052299,0.153440625
01/11/2013,16:00:00,0.115948945,0.137707962
01/11/2013,16:05:00,0.134868969,0.13163112
01/11/2013,16:10:00,0.129597456,0.140962898
01/11/2013,16:15:00,0.129901276,0.141236634
01/11/2013,16:20:00,0.113981372,0.149195558
01/11/2013,16:25:00,0.152698482,0.144897209
01/11/2013,16:30:00,0.13629124,0.168998818
01/11/2013,16:35:00,0.144239934,0.181728286
01/11/2013,16:40:00,0.132343896,0.171544531
01/11/2013,16:45:00,0.137251591,0.202563318
01/11/2013,16:50:00,0.144637096,0.169854442
01/11/2013,16:55:00,0.144029074,0.174196233
01/11/2013,17:00:00,0.155991326,0.171729116
01/11/2013,17:05:00,0.147594246,0.170917752
01/11/2013,17:10:00,0.151136119,0.162435574
01/11/2013,17:15:00,0.152316606,0.164482397
01/11/2013,17:20:00,0.144295462,0.147584285
01/11/2013,17:25:00,0.139478372,0.138704625
01/11/2013,17:30:00,0.128170182,0.153377199
01/11/2013,17:35:00,0.122638412,0.156660863
01/11/2013,17:40:00,0.115731987,0.151027711
01/11/2013,17:45:00,0.126435029,0.151300949
01/11/2013,17:50:00,0.117134049,0.136691809
01/11/2013,17:55:00,0.111661699,0.129898237
01/11/2013,18:00:00,0.099265587,0.124476554
01/11/2013,18:05:00,0.093578415,0.122176429
01/11/2013,18:10:00,0.099538332,0.101277949
01/11/2013,18:15:00,0.096473869,0.094591681
01/11/2013,18:20:00,0.085892145,0.091594394
01/11/2013,18:25:00,0.074885347,0.084262686
01/11/2013,18:30:00,0.066672467,0.080035554
01/11/2013,18:35:00,0.063030758,0.071342881
01/11/2013,18:40:00,0.059185552,0.067324889
01/11/2013,18:45:00,0.061029431,0.061861947
01/11/2013,18:50:00,0.060161867,0.06380022
01/11/2013,18:55:00,0.058509557,0.058643528
01/11/2013,19:00:00,0.055707729,0.056497462
01/11/2013,19:05:00,0.049771758,0.059290368
01/11/2013,19:10:00,0.04512859,0.061789952
01/11/2013,19:15:00,0.037209882,0.062372843
01/11/2013,19:20:00,0.033913793,0.064237756
01/11/2013,19:25:00,0.027730786,0.065388984
01/11/2013,19:30:00,0.023133585,0.070728129
01/11/2013,19:35:00,0.019240105,0.069858755
01/11/2013,19:40:00,0.019249831,0.068573357
01/11/2013,19:45:00,0.019368085,0.070237503
01/11/2013,19:50:00,0.017201749,0.070056847
01/11/2013,19:55:00,0.016138168,0.066736475
01/11/2013,20:00:00,0.016853718,0.069331517
01/11/2013,20:05:00,0.016951948,0.063568617
01/11/2013,20:10:00,0.015422316,0.064283539
01/11/2013,20:15:00,0.015671332,0.059189142
01/11/2013,20:20:00,0.012889053,0.057203321
01/11/2013,20:25:00,0.012030133,0.059018238
01/11/2013,20:30:00,0.011160373,0.053268873
01/11/2013,20:35:00,0.007097763,0.054070929
01/11/2013,20:40:00,0.007149404,0.051812991
01/11/2013,20:45:00,0.005321821,0.052216054
01/11/2013,20:50:00,0.003757692,0.051302076
01/11/2013,20:55:00,0.002840049,0.04921067
01/11/2013,21:00:00,0.002578967,0.046249864
01/11/2013,21:05:00,0.002938469,0.043132303
01/11/2013,21:10:00,0.00277724,0.038353949
01/11/2013,21:15:00,0.001698777,0.034949157
01/11/2013,21:20:00,0.002146098,0.03430644
01/11/2013,21:25:00,0.002937695,0.037270149
01/11/2013,21:30:00,0.003620581,0.036999085
01/11/2013,21:35:00,0.002693077,0.03615055
01/11/2013,21:40:00,0.002063207,0.032538413
01/11/2013,21:45:00,0.002414771,0.028184253
01/11/2013,21:50:00,0.001454524,0.029372311
01/11/2013,21:55:00,0.000474036,0.030501139
01/11/2013,22:00:00,0.000525984,0.02896636
01/11/2013,22:05:00,0.000948062,0.028835896
01/11/2013,22:10:00,0.002906936,0.031570784
01/11/2013,22:15:00,0.004203474,0.030814605
01/11/2013,22:20:00,0.003712131,0.031621097
01/11/2013,22:25:00,0.002863646,0.03193638
01/11/2013,22:30:00,0.001790053,0.031929516
01/11/2013,22:35:00,0.003517787,0.02895418
01/11/2013,22:40:00,0.004006141,0.028728685
01/11/2013,22:45:00,0.004006141,0.02768952
01/11/2013,22:50:00,0.001886964,0.027338607
01/11/2013,22:55:00,0.002043214,0.028991271
01/11/2013,23:00:00,0.003369304,0.02874768
01/11/2013,23:05:00,0.003802755,0.030069248
01/11/2013,23:10:00,0.004395361,0.030926289
01/11/2013,23:15:00,0.006352342,0.027973104
01/11/2013,23:20:00,0.010981426,0.026361972
01/11/2013,23:25:00,0.014885723,0.024032198
01/11/2013,23:30:00,0.016315213,0.022344625
01/11/2013,23:35:00,0.019127107,0.023042022
01/11/2013,23:40:00,0.019580542,0.022311824
01/11/2013,23:45:00,0.01984378,0.023236471
01/11/2013,23:50:00,0.022601806,0.022876179
01/11/2013,23:55:00,0.023587835,0.023268536
