,Timestep,P Feed In,P Feed Out,P DER,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Dem,FT,GT,Surplus,Spot,PI,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,DER1,gP1,B1,DER2,gP2,B2,DER3,gP3,B3,DER4,gP4,B4,DER6,gP6,B6,DER7,gP7,B7,DER8,gP8,B8,DER11,gP11,B11,DER12,gP12,B12,DER13,gP13,B13,Alpha0,Alpha1,Alpha2,Alpha3,Alpha4,Alpha5,Alpha6,Alpha7,Alpha8,Alpha9,Alpha10,Alpha11,Alpha12,Alpha13,Alpha14,Alpha15,Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,1.657300356526335e-08,0.011705976907735342,0.0067797363075,0.029943124348082363,0.004165080000000001,1.5564935846358156e-06,-7.784909332433914e-07,0.0020825400000000003,65.78295485777696,84.37182114222304,-68.96483476045267,75.077388,-65.98398658965375,63.60694768736612,134.30673026043553,202.83446959756276,331.04250446731146,483.0044791017073,501.38915181148803,511.8468591639339,516.5685890514408,544.5980868751238,538.3447667948024,564.5301823987228,581.8665088612877,587.2339328531078,136.29992840203266,176.13661031066974,185.65340039128557,0.0,0.005905296883610732,0.004094704146989271,0.0,0.005954959582470025,0.004045035944602926,0.0,0.005967733389989012,0.004032266449486469,0.0,0.0018951565219692266,0.008104843444130257,0.0,0.0006554466612846623,0.009344553268279149,0.0024485786550000003,0.001538888267902171,0.02846111163173446,0.0,0.0004972524579398647,0.009502747583792225,0.0,0.000592398251872584,0.009407601742390945,0.0043311576525,0.0009684658724604047,0.029031534111634883,0.0,0.005967572943967582,0.004032426809294153,0.09090796795568758,0.09090817524253025,0.09090870935212439,0.09090922427755267,0.09090958430205132,-2.6522750415055905e-10,0.09090958430206027,0.09090958430204905,0.09090958430205463,-2.6508217260130283e-10,-2.666206490369447e-10,0.09090958430204751,0.09090958430204922,0.09090841868657965,-2.641749159618811e-10,-2.6557721487715497e-10,-6.743050545122429,-1.2411666508286379,-1.2347842443834933,-1.2356262670283868,-1.4931713355924767,-9.67992234661059,-1.5716811953301164,-1.3618096712153074,-1.5822199429081456,-9.68129345828551,-9.681435081527848,-1.5807538634936549,-1.2768027656417056,-1.2344835157577227,-9.685697475648789,-9.680936401077853
1,2013-11-01 01:00:00,0.011104555734587983,-1.640826103261105e-08,0.006114559553749949,0.0054641200428148145,0.0034434975000000017,3.404987736808966e-06,-1.7030279520794737e-06,0.0017217487500000008,44.81063089957695,63.39949718402305,-69.03165322460225,54.1050640418,-65.98402076632155,65.46370941309435,134.30663476823196,200.73253307582027,329.2332560781708,483.0044427928072,501.4043531026788,511.84685912934094,516.5685978570419,544.5980946779524,538.4348332590808,564.5630479855848,581.8665133197073,587.2339379408129,134.49537060881622,172.17626379613105,180.81056939656366,0.0,7.138935903037983e-05,0.004023315816403297,0.0,2.8924547996503338e-05,0.004016119799855857,0.0,-9.86121631804807e-05,0.004130878556687682,0.0,-3.054726646579476e-05,0.008135390676749291,0.0,0.0006645365552603604,0.008680016642597061,0.00207483727624995,0.0020178761361219644,0.026443235395252673,0.0,0.0009086448163895077,0.00859410280912904,0.0,0.0008326188939925903,0.008574982842662324,0.0040397222774999995,0.0012450344708554422,0.027786499624876122,0.0,-0.0001757025851074193,0.004208129412940671,0.0909080648463163,0.09090855574414242,0.09090896264144292,0.09090926232749053,0.09090940116749108,1.168277836779891e-10,0.09090940116749413,0.09090940116748535,0.09090940116748547,1.1675634884588622e-10,1.1751431051473512e-10,0.090909401167493,0.09090940116748446,0.09090874685121123,1.1631116808713302e-10,1.1699982505450795e-10,-12.01458369985166,-2.850667668216479,-2.8438362386390095,-2.854667572375072,-3.1062418142181487,-19.35721087316267,-3.1389046567131658,-2.706679998336301,-3.133939617749812,-19.359953146095936,-19.360236419686196,-3.142036330506036,-2.5420928674271517,-2.8574369714696157,-19.368761058309012,-19.359239052298655
2,2013-11-01 02:00:00,0.035626925279099095,-1.8353391462746865e-08,0.0051794656812498,-0.018432704065109485,0.003127927500000001,3.940212326030023e-06,-1.970724198183362e-06,0.0015639637500000005,26.932266857776956,45.52113314222305,-69.28761574608804,36.2267,-65.9840428542078,52.14377599938866,129.68702505671092,200.1559450121397,329.2331487970167,483.0044374215554,501.40888525793304,511.8468589805041,516.568604306842,544.5980995052303,538.5133120786124,564.5933729120568,581.866516062878,587.2339497882843,134.4952631835361,176.67364918983947,187.19538964054462,0.0,-0.007883302838401645,0.011906616407055525,0.0,-0.005770333434064632,0.009786451165066405,0.0,-0.0057768194456048385,0.009907697946499167,0.0,-0.0002644272546367725,0.008399817897646813,0.0,0.0006784292285434961,0.008001587343660743,0.0017848978787499,0.002375416896447862,0.024067818398452116,0.0,0.0011516008738146491,0.0074425019770292915,0.0,0.0009809436678840807,0.007594039169043075,0.0033945678024999,0.0018881210069988524,0.025898378601976812,0.0,-0.005812265406340552,0.010020394838131545,0.09090798740213836,0.09090920125979199,0.09090920125979368,0.090909201259784,0.09090920125978436,8.864655956621509e-17,0.09090920125978309,0.09090920125978379,0.09090920125978247,1.0673530530192865e-16,4.579055541267883e-17,0.0909092012597818,0.09090920125978887,0.09090920125978738,7.028216934229581e-17,8.212335706133028e-17,-16.15533686806871,-4.87179730106486,-4.751529930884119,-4.764319811520259,-4.726932911879253,-29.030344685837413,-4.71008738892715,-4.098372129843932,-4.680925862139913,-29.034457425546833,-29.034882431456545,-4.702507081346683,-3.8737155439717483,-4.7678366846582545,-29.047671138143336,-29.03338653585395
3,2013-11-01 03:00:00,0.03180199208326162,-1.8113314336249504e-08,0.0042044783924998505,-0.01382866498853114,0.0029431799999999997,4.542389343638418e-06,-2.2719071608299533e-06,0.0014715899999999998,28.655480899576954,47.24434718402304,-69.26872487594711,37.9499140418,-65.98404969165668,53.15597830621038,129.6870934739018,200.1559686626067,329.2331430896208,483.0044445178042,501.4020402123509,511.84685813616966,516.568603583541,544.5981003238139,538.479648742783,564.5791899365473,581.8665161221327,587.2339679998174,134.49526010082096,176.59606955266804,187.0987534380987,0.0,-0.004075512209377054,0.015982126368426986,0.0,-0.0061890922293884165,0.015975541324414037,0.0,-0.005966818525399638,0.015874516416282493,0.0,0.00019981572052768805,0.008200002143540783,0.0,0.0006658512369711893,0.007335736036340035,0.0018079366862499,0.0023523604111643512,0.02171545788694576,0.0,0.001170544258932595,0.006271957759794486,0.0,0.0009852624924363948,0.006608776670872798,0.0023965417062499503,0.0028764377855455803,0.023021940800534987,0.0,-0.005847446180930892,0.01586784103815032,0.09090818166235623,0.0909086901633055,0.09090905482215586,0.09090927160856263,0.0909093238248693,7.753944539490283e-11,0.09090932382486741,0.09090932382486835,0.0909093238248665,7.74904534142572e-11,7.801096694202062e-11,0.09090932382486279,0.09090932382486885,0.09090885840650464,7.718551772868719e-11,7.765745986716075e-11,-20.4633598801527,-6.69802034636202,-6.686870160908582,-6.689479960210603,-6.3227787742946475,-38.703034853214135,-6.280816407359879,-5.485418502904688,-6.225303890089452,-38.708518116846506,-38.70908485172568,-6.261319772031829,-5.200071566702214,-6.685523521155839,-38.7261376095784,-38.7070903935529
4,2013-11-01 04:00:00,0.010404639803651012,-1.6502053525336913e-08,0.00376233025874985,0.007940498835077183,0.0029299500000000006,5.077093619972305e-06,-2.5393431698137087e-06,0.0014649750000000003,44.19380083687696,62.782667121323044,-69.05005192326293,53.4882339791,-65.98405156702539,64.7167729208174,134.1053070696612,200.91012863403526,329.2332494529804,483.0044386517435,501.3962483229837,511.8468568587715,516.568602955263,544.5980982734881,538.4032235156013,564.5521527054443,581.8665142916409,587.2339751517335,134.49536454689934,172.76527491054696,181.6323938878764,0.0,6.155692135082169e-06,0.015975973283113447,0.0,-1.4040222855406937e-05,0.015989577745943173,0.0,-0.00010399280438238319,0.01597850916521668,0.0,-5.962168863044195e-06,0.008205964279039642,0.0,0.0006409136606780944,0.0066948223053704325,0.0017726700324999,0.0023396995419591744,0.019375758244658738,0.0,0.0010267938933288699,0.005245163908140527,0.0,0.0008882980913202888,0.005720478573820331,0.00198966022624995,0.0032726660922725165,0.019749274692371886,0.0,-0.00010998796382705636,0.015977829021228844,0.09090821145991636,0.0909088615153903,0.09090890905761052,0.0909090898349674,0.09090933238965004,3.894507512831224e-11,0.09090934848826862,0.09090934848826886,0.0909093484882568,3.8937468047619e-11,3.901531551498812e-11,0.09090934848825678,0.09090934848826032,0.09090885310637868,3.888868535161173e-11,3.896317947098127e-11,-25.78849621353444,-8.309430139105228,-8.296332804439139,-8.306397299964221,-7.93184386258871,-48.37793616218543,-7.84767446650902,-6.829683210787197,-7.7676654789479604,-48.3847905536801,-48.385498928670415,-7.817230190800256,-6.468370121387818,-8.301711226865837,-48.40681406727977,-48.383005803607475
5,2013-11-01 05:00:00,0.009231639405571191,-1.631109007679142e-08,0.0044438281074999,0.009283174126385876,0.0035043899999999987,2.7524541832967815e-06,-1.376658822686655e-06,0.0017521949999999994,49.402612836876955,67.99147912132304,-68.93504110173214,58.6970459791,-65.98401813073802,69.7075374311952,137.60866838284977,203.09051476400515,329.6447340337771,483.0044706383191,501.3937817094039,511.84686044882915,516.5685961164822,544.5980961956946,538.3673412742104,564.5415561554112,581.8665121969925,587.2339669895032,136.78132858439903,174.64031313914,183.76790846459494,0.0,5.139950312672068e-06,0.01597083453761293,0.0,2.7950850130000984e-05,0.015961635298471888,0.0,7.41339150115014e-06,0.01597109685201996,0.0,0.0018516875842957616,0.006354276661646863,0.0,0.0008887523593390782,0.00580606987581207,0.00202044190624995,0.0019982237225618983,0.01737753442178664,0.0,0.0008732114953240084,0.004371952454462937,0.0,0.0007775000480439141,0.004942978520046127,0.00242338620124995,0.0028479297182703216,0.01690134495821796,0.0,5.406635688143873e-06,0.015972422858306596,0.09090837636554643,0.09090821969000483,0.09090830125858393,0.09090883018955191,0.09090949436285536,-2.0548324313547173e-10,0.09090966926657584,0.0909097363173319,0.09090956183753973,-2.0539592361412002e-10,-2.0631662827974872e-10,0.0909096841387082,0.09090973631733629,0.09090839128378969,-2.0484916354778243e-10,-2.0569305569411067e-10,-31.14348018145354,-9.924481623357508,-9.906540968499636,-9.919692983701605,-9.415101093523162,-58.05648196556881,-9.39772273740661,-8.163625794944396,-9.31926645774276,-58.06470776204584,-58.06555773709738,-9.380096897449466,-7.713448864301239,-9.914015893278034,-58.09113473420773,-58.06256593750743
6,2013-11-01 06:00:00,0.0005003715091970108,-7.694081834018871e-07,0.004772231704999951,0.018962403555450428,0.005518304999999999,-5.07136032992302e-06,2.53647562566368e-06,0.0027591524999999997,67.06557389957696,85.65444018402304,-68.68617157445897,76.3600070418,-65.98390542293177,85.74788732918206,141.2964588695902,207.86364436461676,333.5152962854803,483.00445657007174,501.37537595870026,511.8468698490464,516.5686264414809,544.5980811818675,538.2079847697834,564.4919560434241,581.8665073978348,587.2339860410581,143.62243295063314,184.0519081709367,193.6818677718073,8.8992e-07,0.0011424860447892464,0.014828347591016519,8.8992e-07,0.00023040699351590394,0.01573122540032531,8.8992e-07,0.0023140753104076888,0.013657020776754625,8.8992e-07,0.0012586921869911527,0.005095584441878211,8.8992e-07,0.00146006945051915,0.0043460003551604965,0.0019273339624999502,0.003661279380264971,0.013716254941232789,8.8992e-07,1.5378263025362752e-05,0.004356574233049744,8.8992e-07,0.000521587871630424,0.004421390642687734,0.0028377783825,0.00389004481483751,0.013011300127505263,8.8992e-07,0.004468446580624216,0.011503976233173766,0.0909083197652596,0.09091046125885816,0.09091022336384884,0.09091004684850718,0.09090843063250338,-2.8898441604745086e-13,0.0909086285041232,0.09090881408716847,0.09090799150200893,-2.872279863673337e-13,-3.0655158533862113e-13,0.09090820082733073,0.09090842195298544,0.09091046125885859,-2.7665108533889075e-13,-2.932664975493705e-13,-37.09899438008249,-11.457259021615059,-11.514253652335885,-11.350344293351766,-10.934618497168806,-67.75028804621785,-10.89964107793715,-9.313687902560172,-10.945498389565094,-67.7598861782262,-67.7608775983478,-10.967522658474504,-8.764256439950163,-11.15886084594312,-67.79071785562725,-67.7573863691408
7,2013-11-01 07:00:00,1.646536387220162e-08,0.010736320185156679,0.004742699533749901,0.034405252561068224,0.008142427499998496,-9.551782205648486e-06,4.777389332476648e-06,0.004071213749999248,73.34160881597695,91.93047510042304,-68.84501766346284,82.6360419582,-65.98379156141931,71.34584982919313,141.2966228509947,207.86384588807954,333.5153622906564,483.0044294456585,501.29586402673493,511.84684360883585,516.568572386062,544.5980838353531,537.6058377855198,563.6693938752672,581.8665009526812,587.2339230894013,143.62249121284603,185.46637978741916,195.4794036272958,1.3232805e-05,0.009644123267682339,0.005184223420633258,1.3232805e-05,0.00971801828253857,0.00601320421109105,1.3232805e-05,0.0058949155250764395,0.007762104486870421,1.3232805e-05,-1.0024201862319196e-05,0.0051056086113347,1.3232805e-05,0.00012499045864091396,0.004221009826488129,0.00227046559999995,0.0007903172692180826,0.012925937571750683,1.3232805e-05,9.962769073839983e-05,0.004256946583883522,1.3232805e-05,0.00017750482053018366,0.004243885816432515,0.00236637149374995,0.0005236113662843904,0.01248768874535569,1.3232805e-05,0.0074422368184850415,0.004061739370046894,0.09090661919993036,0.0909085979031387,0.0909094477805056,0.09090977903911515,0.09090956316573644,1.639948745380126e-11,0.09090947678168411,0.09090942312242414,0.09090947121995321,1.641082770133176e-11,1.6279831431959817e-11,0.09090926142145069,0.09090916070422367,0.09090919957988758,1.6476563183266735e-11,1.637132442670246e-11,-43.86334850583695,-12.406126187547951,-12.454646939124473,-12.565142901314838,-12.56917214320309,-77.45127770590899,-12.524210989640158,-10.73180928232543,-12.572354701460544,-77.46224742182878,-77.46338053885042,-12.593393923851732,-10.193001329488844,-12.262124200120377,-77.49748406484515,-77.45939003465921
8,2013-11-01 08:00:00,0.014424704519291651,-1.4830146940173361e-08,0.0037550480249999994,0.009625534592121341,0.0079171275,-8.998216159564614e-06,4.5005194801673965e-06,0.00395856375,56.94168381597696,75.53055010042304,-68.73558194667093,66.2361169582,-65.98377708255359,78.21194023095099,141.29645900600877,207.86367734889757,333.51531476584853,483.0044450048848,501.2799193000095,511.8468426055621,516.5685729477411,544.5980868804473,537.5118978318532,563.6312303429777,581.8665009914672,587.2339208516864,142.39203702987186,181.639773087076,190.24748878730796,0.0001095102,0.0011202137345177761,0.004064008783888603,0.0001095102,0.0019402701283589244,0.0040729311771024405,0.0001095102,0.003697059821289782,0.0040650439012082824,0.0001095102,0.0010437949554226139,0.004061813623929225,0.0001095102,0.000158436620310088,0.004062573136262024,0.0016085304112500001,0.000862796702359351,0.012063140769155638,0.0001095102,0.0001966101878787088,0.004060336437531317,0.0001095102,0.00018260579207549852,0.004061280018635315,0.00127043601375,0.00042618848773859537,0.012061500241763216,0.0001095102,-2.377042613003575e-06,0.00406411523305593,0.09090716430759269,0.09090820502023295,0.09090880898142333,0.090909432005162,0.09090951139209194,-3.566298446280544e-10,0.09090955958368206,0.09090958796618887,0.09090967695494948,-3.5652977276503883e-10,-3.575788251497973e-10,0.09090991678510883,0.09091001657158311,0.09090812221567635,-3.559004479268762e-10,-3.568697647764134e-10,-48.73356128310969,-13.950352360239716,-13.931514830855546,-13.906269435416963,-14.116294196671873,-87.15482043104187,-14.140230362360466,-12.177566413286097,-14.185877533242273,-87.16716212174856,-87.16843693234048,-14.212612972705259,-11.697837697283093,-13.891406181046142,-87.20680324973779,-87.16394681559206
9,2013-11-01 09:00:00,0.021327508014436954,-1.6653176185012874e-08,0.00518351073374985,3.257903019138966e-05,0.008143184999999997,-9.628053816070161e-06,4.815537100723992e-06,0.004071592499999999,46.69050485777696,65.27937114222304,-69.01686543127805,55.984938,-65.98375054256273,69.24391431901005,139.72131301423374,206.43421577382358,331.2188339611171,478.3841303801577,493.48949099445565,502.0114317102026,506.15504103036943,538.6712310615773,532.3507044209904,558.0852113956628,575.2412145719442,580.4766452062928,141.6038978780525,181.66884662260046,190.76792261963126,0.0003303435,2.761493899406379e-06,0.004061249263509261,0.0003303435,2.2455103641819293e-05,0.004050484966751374,0.0003303435,5.898076821275061e-06,0.004059148969550882,0.0003303435,-2.7177709836459143e-07,0.004062086048066726,0.0003303435,1.3907940837660815e-06,0.004061183710585031,0.00125275627249995,2.530869270445395e-06,0.01206061180553208,0.0003303435,-3.3466718325214504e-06,0.004063682352404066,0.0003303435,-1.3658470950498887e-06,0.00406264600493997,0.0012880064612499,-8.883160038263584e-07,0.012062388907000454,0.0003303435,3.476886304814793e-06,0.004060640148761246,0.09090693103389055,0.09090849437362485,0.09090894389882577,0.09090949022531067,0.09090959985827121,3.876328807399034e-10,0.09090966981095584,0.09090967002383454,0.09090960602793455,3.875082738087916e-10,3.8882594078063454e-10,0.09090953496400352,0.09090949881655674,0.09090855902797293,3.867298702948158e-10,3.8793255990186024e-10,-53.255140252319094,-15.564010628194177,-15.540576032732709,-15.51813125377533,-15.727067586835195,-96.85467283689263,-15.750552319351842,-13.726005762947295,-15.7969906653658,-96.86838589627138,-96.86980259777043,-15.828174142718506,-13.24251265071739,-15.502288574474669,-96.91243373587099,-96.86481331171848
10,2013-11-01 10:00:00,0.027242017837332877,-1.636030996690821e-08,0.00734509784124995,-0.006956908757781098,0.008226165000000002,-8.714996177940297e-06,4.358865066523741e-06,0.004113082500000001,38.59334785777695,57.182214142223046,-69.08331167425558,47.887781,-65.98379190189569,62.246197619734396,131.75542193117897,194.56753865148423,318.73739436179267,466.5428594023638,483.0084087891246,492.6539787688553,497.2323894739339,523.1979195328939,517.4766161564419,543.7447395914916,562.5193762882909,568.3087838120144,137.7750996428551,183.45020863862047,194.83680611162075,0.000549496,-2.5719744867041007e-07,0.004061506803668591,0.000549496,-0.0005231723384291424,0.004573653801324368,0.000549496,-0.0050674590721472065,0.009126607455100688,0.000549496,-0.0002514415446811444,0.004313527445115326,0.000549496,-0.00017434607795816025,0.004235529460091778,0.0011801358525,-6.926767876020088e-05,0.012129879121233613,0.000549496,-5.0521947790749116e-05,0.004114204345134676,0.000549496,-0.00012095830714403223,0.004183604216883216,0.00176899398874995,-5.591307357246692e-05,0.012118301838315554,0.000549496,-0.0006434878070575502,0.004704127517958054,0.09090626104123421,0.0909090070440869,0.0909094533765034,0.09090945337648962,0.09090942743586061,8.099348630474822e-11,0.09090937420914104,0.0909093559777221,0.09090941202096274,8.096085137002436e-11,8.130481458153392e-11,0.0909094049137801,0.09090939682259978,0.09090945337649933,8.075622802938803e-11,8.107192426486384e-11,-57.55776701921326,-17.16313486132162,-17.169024189359874,-17.431064331971374,-17.338695411352163,-106.55107056274184,-17.35703280794428,-15.288757469396636,-17.3962425441101,-106.56615381541782,-106.56771316284446,-17.436396163743662,-14.76623789662594,-17.13874545481193,-106.61460965549165,-106.56222457586486
