,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,Lambda Feed,GT,Max Price Diff,Surplus,Spot,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],Alpha[0],Alpha[1],Alpha[2],Alpha[3],Alpha[4],Alpha[5],Alpha[6],Alpha[7],Alpha[8],Alpha[9],Alpha[10],Alpha[11],Alpha[12],Alpha[13],Alpha[14],Alpha[15],FloP[1],FloP[2],FloP[3],FloP[4],FloP[5],FloP[6],FloP[7],FloP[8],FloP[9],FloP[10],FloP[11],FloP[12],FloP[13],FloP[14],FloP[15],FloQ[1],FloQ[2],FloQ[3],FloQ[4],FloQ[5],FloQ[6],FloQ[7],FloQ[8],FloQ[9],FloQ[10],FloQ[11],FloQ[12],FloQ[13],FloQ[14],FloQ[15],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,0.03880249750343205,-2.1004915190247873e-05,2.1004915186117425e-05,0.004207652644930234,0.004165080000000001,0.5060837039744214,0.5043481381813018,0.00034841037472688934,0.0020825400000000003,64.14682420276118,64.69297836060586,84.06027979723883,0.0003014765160571642,3.641014975442822e-05,74.10355200000001,-1.165943739686204e-05,-1.1851372579374293e-05,-1.5327536650582985e-05,-1.9815035909372236e-05,-1.6513157918344365e-05,0.0016020079979573777,-2.1793595845144024e-05,-2.505159352891782e-05,0.0028349142909119877,-1.2434672393000763e-05,-3.8766575708398734e-05,-5.199864174623186e-05,-6.156863677087478e-05,-6.545642306755343e-05,-3.117283074699926e-05,0.0006393193684910559,-7.88916368814598e-05,-3.626806164472001e-05,0.0004611834433721271,-5.9348561989906016e-05,0.9999999993136152,-6.869079695427963e-10,-6.86907969501418e-10,-6.869079694907793e-10,-6.869079694373984e-10,-6.869079695198472e-10,-6.869079694638004e-10,3.3630995520525697e-09,-6.869079695665629e-10,-6.869079694380334e-10,-6.869079693379589e-10,-6.869079694558857e-10,6.253774317881145e-09,-6.869079694656805e-10,-6.869079693976908e-10,-6.86907969588168e-10,-4.203083529481697e-05,-0.001208276750059441,-0.0014978237329910066,-0.0017908538818238056,-0.0007342129913290276,-0.0010300873250199808,-0.0013243055054965778,0.00029950920767766813,-0.001354167591651988,-0.0019532422871916446,-0.002254416003627413,-0.0025571897935725476,0.0008768912354215409,0.0005867597093707731,0.00029385794505728266,0.0017355622906976877,0.0009265625790037547,0.0007356239399821824,0.0005350961659558351,-0.00013853383231502754,-0.00033040002571771605,-0.0005004712021181982,0.0002178854201285323,0.00046920666237925464,4.493224315518243e-05,-0.00014725453125534883,-0.00032243112887656174,0.0006313196028401129,0.0004330163437389203,0.00022014752925306967,-0.0027177410474709227,-0.018717712418558186,-0.018730129277167093,-0.01895501268420371,-0.019245322376645797,-0.01913863787502064,-0.019031714055222873,0.085675240058028,-0.019373321311755846,-0.01937695312064673,-0.019480785038552047,-0.019584090885411125,0.16543562018879537,-0.018767864679387774,-0.01894671675800487,-0.01900844856902133
1,2013-11-01 01:00:00,optimal,0.028550303154263747,-6.631805776310941e-05,6.631805776234501e-05,0.0035770890916268228,0.0034434975000000017,0.509729961761203,0.5096650317781788,0.0016562585047498676,0.0017217487500000008,43.44653426996118,44.20395093594081,63.359989864438816,0.0012574535664171549,4.223581870531866e-05,53.4032620672,-3.314927540623701e-05,-3.282937819336416e-05,-3.090751431879922e-05,-2.8350076280704468e-05,-2.830488329426834e-05,0.0013265293942258797,-2.7254916058169912e-05,-2.705404857682967e-05,0.0026395857539030327,-3.3257735531715975e-05,1.4030077737e-05,1.9553052691759722e-05,2.297725535899065e-05,2.458584423910265e-05,1.1427854033402638e-05,0.00037875141341948233,3.052124494013801e-05,1.2448249557777468e-05,0.0010026599268766635,2.0495177867772542e-05,0.9999999992447672,-7.451375176518438e-10,-7.451375176308671e-10,-7.451375175791671e-10,-7.451375176364884e-10,-7.45137517662256e-10,-7.451375175491514e-10,5.475399760939737e-09,-7.451375175986342e-10,-7.451375176475023e-10,-7.451375176392418e-10,-7.451375176762115e-10,4.967375781788646e-09,-7.451375175810565e-10,-7.451375175505819e-10,-7.451375176891963e-10,-0.0001327024335828099,-0.001182508711497625,-0.0014449700324946188,-0.0017055057861789734,-0.0005810734099234157,-0.0008389781793972913,-0.0010969062081017359,0.00025687617922714464,-0.0013824057774137286,-0.0018964173879149264,-0.00215328996128862,-0.002409964950997529,0.000787024425202174,0.0005241339061972715,0.00026195308968513843,6.493123914578794e-05,-0.00030717947845013854,-0.0004023705696578162,-0.0004941306097942846,-6.510099981988412e-05,-0.0001606400869411487,-0.00026397262720309134,8.420096257930713e-05,-0.0005191778440539426,-0.0006916149222250801,-0.0007855714209931721,-0.0008878815249401614,0.00027138560548519715,0.0001771385237047108,8.744492778763147e-05,-0.008580781390491888,-0.03033078766471313,-0.030329063802619665,-0.030468993233239455,-0.030646254060123893,-0.030536543828986615,-0.030430648030145897,0.1341653340129364,-0.03072584258649003,-0.03074091248243052,-0.030833145771865255,-0.03092773302385552,0.2719679930429977,-0.0303857342916079,-0.030533277629278096,-0.030584963291626494
2,2013-11-01 02:00:00,optimal,0.029661013559371438,-2.907857087517776e-05,2.907857087597611e-05,0.003186582381665374,0.003127927500000001,0.5076797044210508,0.5065462131952577,0.0004307083283706943,0.0015639637500000005,25.80007220276118,26.69663774843426,45.71352779723882,0.00026992863208619156,1.3287982182877411e-05,35.7568,-1.478865766773623e-05,-1.4881269296713798e-05,-1.525628712904844e-05,-1.5690408727383933e-05,-1.602937721957092e-05,0.0011576340822087045,-1.571804870029863e-05,-1.5619868688148843e-05,0.0022317740988858545,-1.5052470625839265e-05,-8.669521921943704e-06,-8.564638656957825e-06,-7.5800838888146675e-06,-5.998024501308897e-06,-2.5460540758628043e-06,0.0003360483648687328,-5.633688376510603e-06,-2.2139886589218108e-06,0.0002112103733565658,-1.603697664373799e-05,0.9999999968096283,-3.1931704283360415e-09,-3.1931704283108994e-09,-3.193170428315001e-09,-3.193170428330564e-09,-3.193170428326255e-09,-3.193170428333488e-09,2.3571860167393923e-11,-3.1931704283449076e-09,-3.193170428291322e-09,-3.1931704283756763e-09,-3.1931704283079864e-09,4.4681203375570964e-08,-3.1931704283314283e-09,-3.193170428341082e-09,-3.1931704283969328e-09,-5.8186220322120406e-05,-0.0009548253777762459,-0.0011782650357573337,-0.0014020803882766036,-0.0005000463449420678,-0.0007244834049292556,-0.0009490733190283928,0.00022427789327936963,-0.0011262842823910554,-0.001574819839776836,-0.0017990350071908172,-0.0020232145197352242,0.000673292312871753,0.00044968116668647284,0.00022504053927370425,0.0011334903756249663,0.0006458537161128559,0.0005330076981805166,0.00042114820412547053,-1.6267919969702318e-05,-0.00012496772709823275,-0.00023178312328184402,0.00010990920575247018,0.0003271418535459046,0.0001076723646009021,-4.625951055839885e-07,-0.00010694526174151895,0.0003746855485482226,0.0002543522479552994,0.0001285705668597422,-0.010133381536306784,-0.03629260492597866,-0.036293353482995304,-0.03644329462883413,-0.036632145042768106,-0.036527411979969386,-0.03642558833183416,0.15950326192617897,-0.03671247146347852,-0.03672700211956042,-0.036818103359675745,-0.03691174082462551,0.32598184787256723,-0.03635459447184925,-0.036529570735231096,-0.03659191294499656
3,2013-11-01 03:00:00,optimal,0.030556686439136106,2.2655568914128517e-05,-2.265556891429754e-05,0.002897680774911887,0.0029431799999999997,0.5077090363161603,0.5072517980269812,0.001014378056536279,0.0014715899999999998,27.500934269961185,29.133696249892854,47.414389864438824,0.0008160181268870303,-5.47967709220009e-06,37.457662067200005,1.0320293573859934e-05,8.489701352072742e-06,6.284011532460431e-06,7.815621415385268e-06,3.8269676674503755e-06,0.0012081667944149142,3.0726790603021194e-06,2.3713220181037883e-06,0.0016019462482610922,1.096063963854759e-05,-7.073035905715613e-07,-7.680971335243631e-07,-8.1831754484845e-07,-1.0426722836965638e-06,-4.073879833741963e-07,0.0003553540878913591,-1.2020790901525973e-06,-4.863982719331551e-07,0.0006720005181177675,-1.2800097882022015e-06,1.0000000001380434,1.3787314252168687e-10,1.3787314251969887e-10,1.378731425085951e-10,-5.866803307603561e-10,-3.644123197865941e-10,-1.987107843159125e-10,-1.044682516418387e-10,1.3787314252829787e-10,1.3787314250687165e-10,1.3787314252050126e-10,1.3787314252996074e-10,-2.6264453371640576e-10,1.3787314251802613e-10,1.378731425291349e-10,1.3787314250907484e-10,4.533379339736889e-05,-0.0006951752741933988,-0.0008828805946029883,-0.0010727960157774605,-0.0006288982753290884,-0.0008195767288801669,-0.0010119578146795046,0.00019313318556196576,-0.0006322862596824524,-0.0010184279842335741,-0.0012119025357747286,-0.0014057384954468894,0.0005546380046091912,0.00036940856876903594,0.00018459545243564618,0.0004572382547868007,5.916228351613578e-05,-3.971334981164431e-05,-0.00013863930399157358,-5.988908180271382e-05,-0.0001587337179378867,-0.00025724792069722744,9.931048324829066e-05,-0.00017790097981710708,-0.00037638425435879716,-0.00047530095601802083,-0.0005738943270864787,0.00029926125307384453,0.0001998726832661145,0.00010005147728355076,-0.00881330061007639,-0.04170831743637208,-0.04176239791113569,-0.041976598954200584,-0.04212082791103209,-0.04208274367481509,-0.042030475426836474,0.18898524552528584,-0.04233933377364625,-0.04235024029863643,-0.04245489085829367,-0.04255903625782337,0.36693608246947734,-0.04175165133449925,-0.04191452287856362,-0.04197053639528186
4,2013-11-01 04:00:00,optimal,0.030493798744908603,1.5393685933549083e-05,-1.5393685932071356e-05,0.002898714452709529,0.0029299500000000006,0.5101423385361606,0.5091294886123897,0.000452100448975731,0.0014649750000000003,42.83770516916118,46.65912872918401,62.75116076363882,0.004938585348817526,-2.0911474841378216e-05,52.7944329664,8.774572074520138e-06,1.0765101455517249e-05,2.6294183554795786e-05,3.163137087453781e-05,3.323801418465002e-05,0.0012154046889127968,3.569597429309339e-05,4.0148294851471725e-05,0.001367691604832362,8.06655019508349e-06,1.0760898454669653e-06,8.770478427401634e-07,6.053336952458931e-07,4.933525732393199e-07,1.7111299737257906e-07,0.00010718335465148757,7.444065711375321e-09,-3.502589108559394e-08,0.00033267111463405235,2.1790486193607718e-06,1.000000002034406,2.031703955070846e-09,2.0317039550578736e-09,-4.1808243709914504e-10,-9.22279079385543e-10,-1.0105971596983905e-09,-1.076613348294849e-09,-1.1138691484679446e-09,-1.3023170617681195e-09,-1.2659200424006333e-09,-1.528228249286438e-09,-1.7260549803491431e-09,-1.8309956106078943e-09,2.031703955046298e-09,2.0317039550585125e-09,2.0317039550677414e-09,3.080276555277002e-05,-0.0007185169190891884,-0.0009030602981093083,-0.0010720697981937044,-0.0006953040243019865,-0.0008580494914932718,-0.0010201082732926477,0.00015959834641242216,-0.0005404327823719824,-0.0008600335997071443,-0.001017261167217046,-0.0011724027848479873,0.0005627817849150763,0.00037553444242920976,0.00018787627765162382,0.0010128499963944812,0.0006318726321709644,0.0005350864341093584,0.00043802797847198406,0.00018531565111323892,8.797511592780011e-05,-9.518428848827692e-06,9.76575410460997e-05,0.00015554166663714428,-3.963438190534263e-05,-0.0001373060071657895,-0.0002350061031086302,0.00028439060624736257,0.00018890901296386963,9.424286609551903e-05,-0.007376788662965148,-0.05041283116307505,-0.050374035271211495,-0.04986366287356009,-0.04975886332018798,-0.04967782313670334,-0.04959354625896396,0.23658104174865036,-0.049787718328662675,-0.049817461825776045,-0.04979276623136897,-0.04979967941476283,0.4216374535065033,-0.050489200745217934,-0.050671202560130434,-0.05073737266385872
5,2013-11-01 05:00:00,optimal,0.03355106888468901,-1.4022492356438567e-05,1.4022492356133158e-05,0.003531900931759242,0.0035043899999999987,0.5107591168176587,0.5093716991206871,0.0003648540960329526,0.0017521949999999994,47.97895316916118,51.359459747541884,67.89240876363883,0.006041518431388226,-2.7428671159594395e-05,57.9356809664,-2.838222218462741e-06,5.037963334038707e-06,2.8112057277536075e-05,4.745461520305407e-05,5.545650810114366e-05,0.0014040323112435426,6.3734616070022e-05,7.606392418827562e-05,0.0016944717282103136,-5.739481514515629e-06,-9.18739206950961e-07,-1.2398469547172343e-06,-2.121152022617567e-06,-2.78586390185963e-06,-1.3493833972488513e-06,0.00027938037391242335,-6.46220834459854e-06,-3.0579563240449916e-06,0.00012293322171150583,-1.7594639582222788e-06,1.0000000041369574,4.146598310008305e-09,4.146598310048614e-09,1.0193821949825773e-09,-1.1514793979363557e-09,-1.7224992158616121e-09,-2.08655146472607e-09,-2.258760422133547e-09,-3.070538324234432e-09,-2.59677603592297e-09,-3.8050889698837694e-09,-4.4599386461964095e-09,-4.741818242247441e-09,4.146598310048962e-09,4.146598309992702e-09,4.146598310049098e-09,-2.8059007202633313e-05,-0.000988229941875202,-0.001216807877143377,-0.0014222936467459166,-0.0008109566663119991,-0.0009923489834257771,-0.00117046321441487,0.00016982805639822855,-0.0007974609132303894,-0.0011403225299966378,-0.0013034390644231077,-0.0014609242900100869,0.0007237010721667517,0.00048432415533259033,0.000242713864323643,0.0013874175030938853,0.0009115604149761762,0.0007935050883272501,0.0006745666940004124,7.463102269989087e-05,-4.440179428868843e-05,-0.0001625668764526342,0.00012328813276057528,0.0004803312356710336,0.00023524875261014784,0.00011375803319500828,-6.119039041265568e-06,0.00035812351143219,0.00023954752854599763,0.00012005450993802414,-0.008817163926430902,-0.06255750586583798,-0.06211419333912656,-0.060418747942373105,-0.05932052506381086,-0.058996705455967226,-0.058744235106383255,0.29669247757923206,-0.058513248023068565,-0.05870747859371852,-0.05817393949544093,-0.057891982505154226,0.4966657008818894,-0.06278288255801368,-0.0630793602883995,-0.06320209616984676
6,2013-11-01 06:00:00,optimal,0.07445661929583473,0.0001492182373774452,-0.00014921823737710572,0.005217681809382743,0.005518304999999999,0.5050152445525419,0.5028118961521653,0.0005558055650350613,0.0027591524999999997,65.41280626996118,79.63502858462168,85.32626186443883,0.00346959920135248,-0.00017413918023301972,75.36953406720001,0.00014833303754014496,0.0001437896169081978,0.0001383028299186866,0.00013246044141196033,0.00013046507321641364,0.0014144709493040292,0.00012822114277557216,0.00012470020385914196,0.0020152258325408065,0.0001508777299047052,1.723089294000805e-07,1.7713865767908263e-07,1.3062362427591315e-07,-1.7683138447998598e-07,1.960879666046748e-08,0.0002850242059513392,-8.179480057285648e-08,4.419135558381888e-08,0.00027061058228515023,1.944508320403464e-07,1.0000000223770946,-3.634039482341966e-09,-2.8272945540539872e-09,-1.8537789590186353e-09,-8.174366637540913e-10,-6.087898137456952e-10,-4.647330943964022e-10,-3.872395863829786e-10,-6.415994515725188e-11,-1.7152901959499904e-10,2.5564992169082107e-10,5.62457399719243e-10,7.193556433432338e-10,-4.086414545606068e-09,-4.425332337717019e-09,-4.5961878995714234e-09,0.00029858569299202864,-0.0005675090977609988,-0.0007914631644089199,-0.0010209094783325493,-0.0005725007526656411,-0.0008094216888933972,-0.0010467135638857106,0.0002395380316889758,-0.000683703242989382,-0.0011626185881069445,-0.001404399814285902,-0.0016474622834376051,0.0006466886645521974,0.0004298297608416741,0.00021443403841974533,0.0022033484465544748,0.0014681427240244825,0.0012843764944794678,0.001100563656870978,0.0002669701139500238,8.284341335300399e-05,-0.00010108066111274948,0.00018402568087019566,0.000649472635393692,0.00028129307148515835,9.723238892224644e-05,-8.666705381946775e-05,0.0005514346535985122,0.0003676857708522182,0.00018384309393107992,0.014948833271341484,-0.0800416919421955,-0.07996019484738115,-0.07870168988937515,-0.07806872578654851,-0.0778743323847966,-0.07765133703241012,0.3800372202982647,-0.07759904541389373,-0.07778052513217042,-0.0774382316154013,-0.07725816996723402,0.6278515758998338,-0.08006442198518036,-0.08024453015997364,-0.08029075836556314
7,2013-11-01 07:00:00,optimal,0.3946417284113133,0.003840789801850895,-4.97396369284578e-06,0.0042946805950490425,0.008142427499998496,0.4995934232472342,0.49635940933313993,0.0008372835807603564,0.004071213749999248,71.60743413556118,91.52091843437832,91.52088973003883,0.003499072727962016,-0.00018149873979461661,81.5641619328,2.6180698632669555e-05,4.278378814091546e-05,6.033729903371134e-05,7.790349731213441e-05,8.22753472920343e-05,0.001674555731432231,9.121364388292613e-05,0.00010445601607571196,0.0017899882076737278,2.9376413318565603e-05,-1.8042926268615479e-06,-2.134999604246249e-06,-1.7760592701633972e-06,4.6743456322878517e-07,8.975890284971418e-07,0.0004126898699428889,-3.089453751441401e-07,8.114928108905721e-07,0.00045264772100493054,-4.1844035007936e-06,1.0000000052382427,6.9876806557819935e-09,6.987680655791536e-09,6.9876806554569264e-09,6.987680655630614e-09,5.271675258140389e-09,6.98768065615738e-09,-3.712346746384678e-08,6.987680656080209e-09,5.271675258135914e-09,5.2716752582820225e-09,6.987680656196408e-09,-5.037981364100189e-08,6.987680655421618e-09,5.271675257948082e-09,5.271675258039915e-09,0.0038457687395098265,0.0017877441358026944,0.0012877784793107118,0.0008054012932315327,-0.00020605217635634494,-0.0006714911677922519,-0.0011318868395213378,0.0004514392755149269,0.0005466774436926928,-0.0003611374600666806,-0.0008092002740758548,-0.001247370687898277,0.0015414227529860275,0.0010280232609305058,0.0005134338920759934,0.0032340132957290177,0.0021264121140063728,0.0018528552862027432,0.0015796581166139527,0.00040178876118600267,0.0001292427939277914,-0.0001412753800663591,0.00027172712146581325,0.0009069201666601751,0.00036221939330694235,8.937128439774328e-05,-0.0001812331580064262,0.0008343757223116402,0.0005587653918039419,0.0002798107518767727,0.3669166651755578,-0.12732577323042668,-0.12572474613496948,-0.12285972773830693,-0.12061908903563862,-0.1204858423168072,-0.11980158455608247,0.4836139359361479,-0.11893125182432879,-0.1195642140873039,-0.11846264265886658,-0.11737842231233545,0.7419927777804932,-0.12705602853030412,-0.12734544080370233,-0.12728613945560463
8,2013-11-01 08:00:00,optimal,0.4641064347814597,0.005893708392076578,9.322189980149385e-07,0.00202474567939786,0.0079171275,0.5104193943503419,0.5071449250991784,0.0006841038824630846,0.00395856375,55.42023413556118,75.33380486851564,75.33368973003883,0.004717948267327188,2.9708072508356775e-05,65.3769619328,4.609423056246576e-05,3.897891001464978e-05,3.140436263886929e-05,2.393601225335661e-05,2.0213969250415094e-05,0.0010369427330340537,1.9359137412801222e-05,1.6072493431702342e-05,0.0008073388332540683,4.568026108242595e-05,1.3618683100933832e-05,1.3516082192668623e-05,1.3376178319729653e-05,1.2931664623663048e-05,1.3389146929953359e-05,0.00033005524486998106,1.2937527467197214e-05,1.3396667442498565e-05,0.0002491336389901152,1.3621045449031351e-05,0.999999995700284,-2.0997668114965237e-09,-2.9876016118300197e-10,1.6186098562991704e-09,3.5091790633870288e-09,-4.291486595172534e-09,4.451469549080777e-09,4.671667787232916e-09,4.667744769293207e-09,-4.29148659515556e-09,-4.2914865950823134e-09,5.499840603136552e-09,5.7367813593567306e-09,-1.9953296669192886e-09,-4.291486595105415e-09,-4.2914865950636605e-09,0.005892775240861065,0.0038639822362100235,0.0033751368993051667,0.0028787094552208334,0.0005427736069782882,-1.4698843619849636e-06,-0.000509098890080939,0.000508484690914854,0.0018320326001134565,0.0007784874734439785,0.00023228382394951038,-0.0002794907909276502,0.0015470700899904567,0.0010649327920135379,0.0005324915284770398,0.003274469304063845,0.002245952374699425,0.00199556386150648,0.0017450351646328512,0.0004488096937734035,0.00018436483688617035,-6.615086544001437e-05,0.0002509682250278638,0.001045251371262363,0.0005296767618552963,0.0002652788944760949,1.4770727703480124e-05,0.0007782312222809469,0.0005279478822708776,0.0002639749031562087,0.8108419155320967,-0.16361514200661345,-0.16255013908088237,-0.1602557401581942,-0.15857772070615778,-0.1614833029433879,-0.15804061188789748,0.5219689548994166,-0.15723467689099396,-0.1606230953460243,-0.15960747458377575,-0.15592944277534504,0.7630508613606863,-0.16337658320252174,-0.16745557009747877,-0.1674000478328969
9,2013-11-01 09:00:00,optimal,0.4033879494176651,0.005833743311407263,1.9168923579603214e-06,0.0023121906932985128,0.008143184999999997,0.5114765504350457,0.5083236333978608,0.0009186782914064099,0.004071592499999999,45.30202420276118,65.21553716634735,65.21547979723883,0.002717403510516192,5.426665374549944e-05,55.258752,0.00014735803287698737,0.00013190323394230238,0.00011567945222975767,9.997453253648072e-05,9.127345119877615e-05,0.0007594009845688305,9.019407579813799e-05,8.318251353390738e-05,0.0007747463875781818,0.00014699511714406937,5.466341351169407e-05,2.8245196165120448e-05,4.612604742994655e-05,7.857987442127075e-05,5.952194722519352e-05,0.000278237732738002,3.698608277862708e-05,4.277402796521877e-05,0.00025167819065318673,3.780645832675263e-05,0.9999999906361539,-4.733253244607417e-09,-7.013404604065746e-10,3.542256376589918e-09,7.62190462298444e-09,-9.354783096384564e-09,9.919673927356422e-09,1.0389200268852898e-08,1.0201444860715132e-08,-9.354783096505396e-09,-9.354783096469718e-09,1.2014082480148839e-08,1.250981774796965e-08,-4.6166868264812265e-09,-9.354783096465509e-09,-9.354783096568928e-09,0.0058318245021565214,0.003936294341395781,0.003525285301193479,0.003098036341445667,0.000813083250368546,0.00023523283229271317,-0.00021644640590690856,0.000452759701071775,0.0018419836373510714,0.0008098343589673202,0.00022799460745295062,-0.00023178365886409552,0.0014999913853589821,0.0011040893723772089,0.000552060747243086,0.0031529171162870827,0.0021596313788668393,0.0019164376069792121,0.0016911273053523052,0.0004753289570763922,0.0002051188356562931,-6.798304383251446e-06,0.000234490697939136,0.0010229571768845683,0.0005175923104505164,0.0002484232469792429,1.9760737125178984e-05,0.0007765097363100239,0.0005428767077840517,0.0002714410789516871,1.191167608111293,-0.18940925433809394,-0.18935214442668621,-0.1881157881432512,-0.1874619734651662,-0.1991635753990795,-0.1874923103402724,0.5360895524313964,-0.18675676738992564,-0.19840354483809317,-0.19754739435747634,-0.1859087960737138,0.7781722175929551,-0.18919436327847058,-0.20345522329104196,-0.20340179186059798
10,2013-11-01 10:00:00,optimal,0.10021557400646508,0.00024573982451674354,-0.0002457398245171053,0.00773087286935986,0.008226165000000002,0.510800565709266,0.5073857955983883,0.0006983259249085641,0.004113082500000001,37.30989620276118,50.58334836046365,57.22335179723882,0.004081775513945729,-0.0001928480852087626,47.266624,0.0005199510211128832,0.0005172416757389692,0.0005137670832584849,0.0005099311265589568,0.0005079660504883263,0.0010195167961907809,0.0005077254110143469,0.0005058401558545788,0.0014099492328062603,0.0005218190376004055,2.06242501567511e-06,4.598312238303364e-05,6.134126154062417e-05,6.778420468724576e-05,6.82339951677286e-05,9.110377393456932e-05,6.710153772077781e-05,6.80221466701787e-05,0.0001792448652851601,5.029381472479234e-05,1.0000000584062274,-5.83193988469352e-09,-5.128414502346195e-09,-4.220890031974094e-09,-3.2149371738937005e-09,-2.9141494025743214e-09,-2.692691508832521e-09,-2.5701585746843774e-09,-2.6443215769781014e-09,-2.7193483918986e-09,-2.388134911129569e-09,-2.1448099907284425e-09,-2.019790467576575e-09,-6.329459064590771e-09,-6.7214168311510825e-09,-6.924172914043038e-09,0.0004917253888588805,-0.00016133205554344433,-0.00019225888725564824,-0.00022666379012588802,-0.00011699897690346208,-0.0004311268527410423,-0.000471338572238371,4.045262641097028e-05,-0.00014790950570760383,-0.0005032642356627064,-0.00081942909332663,-0.0008617688501730675,0.0006248426783996424,0.0005984977817392078,0.00029887066638269253,0.0034147701438443255,0.0023705400489585785,0.0021423176424466748,0.0019294531691512564,0.000664024293849718,0.0003890743202670209,0.00018310190942511783,0.00020710713320365733,0.0010590057743982196,0.0005764146869290148,0.0003011455781523647,9.496089511593629e-05,0.0007720870264077621,0.0005481753760405703,0.00027406806335662467,1.2160282944104506,-0.1908488553644724,-0.19092879321394218,-0.18986819345235814,-0.18940841430830102,-0.21506505440615997,-0.18953815131084273,0.5599196610347483,-0.18881478071083757,-0.21434414702959703,-0.21355180713635497,-0.18806217191312063,0.8217517061488524,-0.19053947377611763,-0.2186239367482172,-0.2185322793751629
