,Timestep,Status,Obj,P Feed In,P Feed Out,P Local Gen,P Local Dem,Q Feed In,Q Feed Out,Q Local Gen,Q Local Dem,FT,GT,Surplus,Spot,Shadow Price 0,Shadow Price 1,Shadow Price 2,Shadow Price 3,Shadow Price 4,Shadow Price 5,Shadow Price 6,Shadow Price 7,Shadow Price 8,Shadow Price 9,Shadow Price 10,Shadow Price 11,Shadow Price 12,Shadow Price 13,Shadow Price 14,Shadow Price 15,B_min1,Bat_SOC[1],B_max1,B_min2,Bat_SOC[2],B_max2,B_min3,Bat_SOC[3],B_max3,B_min4,Bat_SOC[4],B_max4,B_min6,Bat_SOC[6],B_max6,B_min8,Bat_SOC[8],B_max8,B_min11,Bat_SOC[11],B_max11,B_min13,Bat_SOC[13],B_max13,GenP[1],GenP[2],GenP[3],GenP[4],GenP[6],GenP[7],GenP[8],GenP[11],GenP[12],GenP[13],GenQ[1],GenQ[2],GenQ[3],GenQ[4],GenQ[6],GenQ[7],GenQ[8],GenQ[11],GenQ[12],GenQ[13],FloP[1],FloP[2],FloP[3],FloP[4],FloP[5],FloP[6],FloP[7],FloP[8],FloP[9],FloP[10],FloP[11],FloP[12],FloP[13],FloP[14],FloP[15],FloQ[1],FloQ[2],FloQ[3],FloQ[4],FloQ[5],FloQ[6],FloQ[7],FloQ[8],FloQ[9],FloQ[10],FloQ[11],FloQ[12],FloQ[13],FloQ[14],FloQ[15],Balance N0,Balance N1,Balance N2,Balance N3,Balance N4,Balance N5,Balance N6,Balance N7,Balance N8,Balance N9,Balance N10,Balance N11,Balance N12,Balance N13,Balance N14,Balance N15
0,2013-11-01 00:00:00,optimal,-6.3833170691849315,-5.731269221908277e-14,0.11935474420649948,0.1235198242057802,0.004165080000000001,1.0904931947746037,1.0884106547733832,-1.2268173593026393e-12,0.0020825400000000003,64.14682420276118,84.06027979723883,-4.981657100722181e-11,74.10355200000001,64.14682420277134,64.14682420277107,64.1468242027716,64.14682420277035,64.14682420276952,64.14682420277073,64.14682420277126,64.14682420277165,64.14682420277138,64.14682420277123,64.14682420277285,64.14682420277353,64.14682420277339,64.1468242027712,64.1468242027712,64.14682420277069,0.005679999999999999,0.019629999999704138,0.06886999999999999,0.0037199999999999998,0.01789999999996054,0.0527,0.00608,0.017479999999669642,0.06688,0.00975,0.019799999999898895,0.057850000000000006,0.00174,0.007679999999728903,0.05104,0.0017599999999999998,0.005919999999978721,0.03564,0.0146,0.025229999999929073,0.05913,0.013600000000000001,0.029999999999765013,0.07440000000000001,0.018000000000290305,0.01000000000003567,0.019000000000325246,0.014000000000094529,0.01900000000025807,0.001632385769792544,0.013000000000003979,0.012000000000061887,0.0028874384347620193,0.01400000000023211,-1.3878619031213354e-14,-2.3277906567361364e-14,-4.261997385584635e-14,-1.1321282392454095e-13,-1.2219202433113745e-13,-1.2558682277649715e-13,-1.2529441933156367e-13,-1.2745666883780851e-13,-1.2761558687912519e-13,-1.4677102725084175e-14,-0.11935474420650831,-0.08846543220587126,-0.0787431042057871,-0.06002077620541331,-0.019799369770201733,-0.02007704177014775,-0.0013547137698411082,-0.012722328000052551,-0.02649907843506844,-0.014054422434971365,-0.014332094434920948,-0.002609766434810543,-0.013166984000298244,0.0005553439999823683,0.00027767200001886855,0.0020825400012204143,0.0015271960011691023,0.0013883600011460836,0.001249524001103829,0.00041650800036538557,0.00027767200024665515,0.00013883600012501847,0.00013883600012472237,0.0006941800006257352,0.0004165080003777999,0.00027767200025382416,0.0001388360001269861,0.0004165080000375754,0.0002776720000230602,0.0001388360000108013,-7.6562277943847405,1.1368310586984745,0.6236564650599696,1.2009778829034872,0.8802437618748306,-0.01781177696968567,1.200977882899178,0.08690058603595596,0.8160969376662508,-0.017811776970292008,-0.01781177696991134,0.751950113467194,0.16740822870097258,0.8802437618836559,-0.017811776970801572,-0.01781177697435422
1,2013-11-01 01:00:00,optimal,-3.9291596552085903,-2.4660473768528075e-12,0.11963287559020465,0.12307637308914413,0.0034434975000000017,1.0080223200607843,1.006300571270584,-4.084818728481073e-11,0.0017217487500000008,43.44653426996118,63.359989864438816,-1.5321848477467537e-10,53.4032620672,43.44653427019937,43.44653427018866,43.44653427019769,43.44653426981063,43.446534269227556,43.446534269236096,43.44653426923486,43.44653426922261,43.446534269144934,43.44653426916925,43.44653426919092,43.44653426918179,43.446534269173654,43.44653427019018,43.44653427022287,43.44653427023783,0.005679999999999999,0.0196299999934158,0.06886999999999999,0.0037199999999999998,0.01789999999502847,0.0527,0.00608,0.01747999999478626,0.06688,0.00975,0.019799999996125802,0.057850000000000006,0.00174,0.007679999995712652,0.05104,0.0017599999999999998,0.005919999997127818,0.03564,0.0146,0.02522999999671172,0.05913,0.013600000000000001,0.02999999999463034,0.07440000000000001,0.018000000006505913,0.010000000004914692,0.019000000005145568,0.014000000003768887,0.019000000004055693,0.0013832248516412438,0.01300000000254244,0.012000000003132538,0.0026931481859183808,0.014000000005325404,-7.189099262469669e-13,-1.3635205042157742e-12,-2.24018439292862e-12,-4.024704655614562e-12,-4.079808829219976e-12,-4.197359509435625e-12,-3.5257083915667775e-12,-3.487800590858058e-12,-3.424332163676144e-12,-8.117912996935075e-13,-0.11963287559246304,-0.08855114157404771,-0.07878070806892527,-0.060010274563563525,-0.0196945253599933,-0.019924091856154593,-0.0011536583518702086,-0.01277043350277298,-0.02654531569957249,-0.014004448693125268,-0.014234015189510571,-0.0024635816861483003,-0.01331130051170146,0.00045913299383186566,0.0002295664971122048,0.0017217487902004519,0.0012626157871403964,0.001147832535801314,0.0010330492835981873,0.00034434976213308926,0.0002295665081599176,0.0001147832541383176,0.00011478325346433482,0.000573916267496565,0.0003443497602865818,0.00022956650678633157,0.00011478325336123499,0.00034434975235324197,0.0002295665015532667,0.00011478325076342764,-5.197633829279465,0.7720637483367083,0.4244914741059803,0.8155102825478054,0.5982776111369965,-0.009973868652695953,0.8155102825004541,0.050122457110683014,0.5548310768135123,-0.009973868659900898,-0.009973868662466759,0.5113845425689506,0.10703408614468847,0.5982776112046218,-0.009973868676024577,-0.009973868693065305
2,2013-11-01 02:00:00,optimal,-1.8163581288273802,-1.432071584668039e-13,0.11932504962222756,0.12245297712189801,0.003127927500000001,0.9444498830953885,0.9428859193460294,6.408560851725092e-13,0.0015639637500000005,25.80007220276118,45.71352779723882,-1.219718163275596e-11,35.7568,25.80007220276813,25.80007220276779,25.800072202767936,25.80007220276785,25.800072202769726,25.800072202769673,25.80007220276968,25.800072202769975,25.80007220276835,25.800072202767975,25.80007220276734,25.80007220276689,25.800072202766753,25.800072202767694,25.800072202766135,25.800072202765982,0.005679999999999999,0.019629999999821176,0.06886999999999999,0.0037199999999999998,0.017900000000052377,0.0527,0.00608,0.017479999999769062,0.06688,0.00975,0.019799999999913446,0.057850000000000006,0.00174,0.007679999999741946,0.05104,0.0017599999999999998,0.005919999999690131,0.03564,0.0146,0.02522999999965105,0.05913,0.013600000000000001,0.029999999999887287,0.07440000000000001,0.018000000000175764,0.0099999999999454,0.019000000000228227,0.014000000000083328,0.019000000000253182,0.001189931918925768,0.013000000000300292,0.012000000000349226,0.002263045201449515,0.014000000000111089,8.812041169983465e-15,2.337168606910697e-14,4.2685912004554286e-14,7.31138954424417e-14,7.080673397845647e-14,6.99783090941335e-14,6.243015544800002e-14,5.226141824970823e-14,5.0743138370599984e-14,3.813588767028343e-15,-0.11932504962234124,-0.08815916362205152,-0.0783676921220766,-0.059576220621818825,-0.019564346419277578,-0.019772874919237963,-0.000981403418955272,-0.012791471500329846,-0.026220402702428404,-0.01363745970197349,-0.013845988201857933,-0.0020545167014791132,-0.013374414500084421,0.0004170570000562054,0.00020852849998169147,0.0015639637493589172,0.0011469067493654248,0.0010426424993888797,0.0009383782494316168,0.0003127927497868197,0.00020852849985930229,0.00010426424993006584,0.00010426424993763977,0.0005213212497178734,0.00031279274984226374,0.0002085284998971037,0.00010426424994930903,0.00031279275000237986,0.00020852850000632173,0.00010426425000393546,-3.078594895856056,0.4590212492980262,0.25262067166993774,0.48482132150214785,0.3558209604845688,-0.005380050356074234,0.4848213215027917,0.02532027906832831,0.33002088828739834,-0.005380050353870998,-0.005380050354116732,0.30422081608589274,0.0530066792391905,0.355820960485285,-0.005380050359020523,-0.005380050356625785
3,2013-11-01 03:00:00,optimal,-2.0130200427238965,-1.3826867855082007e-13,0.11885980559680497,0.12180298559655754,0.0029431799999999997,0.9258064612422007,0.9243348712432973,1.0937795538875574e-12,0.0014715899999999998,27.500934269961185,47.414389864438824,-1.060689643755941e-11,37.457662067200005,27.50093426996881,27.50093426996844,27.50093426996884,27.50093426996777,27.50093426996889,27.50093426996915,27.50093426996934,27.500934269969722,27.500934269970372,27.500934269969797,27.500934269970173,27.50093426997019,27.50093426996974,27.50093426996832,27.50093426996653,27.500934269966358,0.005679999999999999,0.01962999999981586,0.06886999999999999,0.0037199999999999998,0.017899999999985757,0.0527,0.00608,0.01747999999977838,0.06688,0.00975,0.019799999999887217,0.057850000000000006,0.00174,0.007679999999747062,0.05104,0.0017599999999999998,0.005919999999650639,0.03564,0.0146,0.02522999999951714,0.05913,0.013600000000000001,0.0299999999998664,0.07440000000000001,0.01800000000017966,0.010000000000010988,0.019000000000217846,0.01400000000010803,0.019000000000246178,0.0012052911239610565,0.013000000000332058,0.012000000000480711,0.0015976944705498194,0.0140000000001313,-8.946418936025397e-17,1.7519599960104755e-14,6.606311792960871e-14,1.1970956630879466e-13,1.1941034616169404e-13,1.197748214171382e-13,1.175224415350799e-13,1.1106577597604019e-13,1.0988918429914273e-13,-8.07758127525816e-15,-0.11885980559691914,-0.08764465359647144,-0.07784086559643637,-0.0590370775961944,-0.019616655124353212,-0.019812867124255437,-0.001009079123985153,-0.012803788000356144,-0.02561663447170904,-0.013009058471213513,-0.013205270471078723,-0.001401482470573922,-0.013411364000243946,0.0003924239999114559,0.0001962119999377948,0.001471589998903369,0.001079165998869297,0.0009810599988870035,0.000882953998953261,0.00029431799964011206,0.0001962119997604425,9.810599988003617e-05,9.810599988230792e-05,0.0004905299994330206,0.000294317999666755,0.00019621199977865056,9.810599988991075e-05,0.0002943180000341167,0.00019621200002623652,9.810600001317076e-05,-3.2687557010628066,0.48962080354940024,0.26961332938501115,0.5171217378204191,0.37961706646755516,-0.005396013312953239,0.5171217378211983,0.027750618661250722,0.3521161322037473,-0.005396013311808632,-0.005396013311934784,0.32461519793786664,0.03854207730310408,0.3796170664681951,-0.005396013314918862,-0.0053960133139326115
4,2013-11-01 04:00:00,optimal,-3.82683005941153,-2.6879721264226294e-12,0.11857827022922227,0.12150822022692888,0.0029299500000000006,1.0019704862073613,1.000505511165091,-4.2940497074675564e-11,0.0014649750000000003,42.83770516916118,62.75116076363882,-2.1339106176521128e-10,52.7944329664,42.83770516940923,42.837705169398205,42.83770516940763,42.83770516900383,42.83770516839464,42.83770516840349,42.83770516840156,42.83770516838767,42.83770516830854,42.83770516833403,42.83770516835724,42.837705168348734,42.83770516834141,42.83770516939974,42.837705169432866,42.83770516944808,0.005679999999999999,0.0196299999931445,0.06886999999999999,0.0037199999999999998,0.017899999994796252,0.0527,0.00608,0.017479999994460108,0.06688,0.00975,0.019799999995828023,0.057850000000000006,0.00174,0.007679999995384205,0.05104,0.0017599999999999998,0.005919999996851368,0.03564,0.0146,0.02522999999646673,0.05913,0.013600000000000001,0.02999999999436231,0.07440000000000001,0.018000000006775832,0.010000000005146151,0.019000000005470533,0.014000000004064051,0.019000000004379014,0.0011817800218845479,0.013000000002813403,0.012000000003373463,0.0013264401502303806,0.01400000000559286,-7.620450166143367e-13,-1.4490425371180551e-12,-2.3827217624018838e-12,-4.240576678485795e-12,-4.283633700552572e-12,-4.410914986191156e-12,-3.6732103251613346e-12,-3.6613840821542046e-12,-3.60125919151847e-12,-8.590417380055411e-13,-0.11857827023161205,-0.08735959021180395,-0.07755492020635953,-0.05875025020058203,-0.01959579003100944,-0.01979112002690366,-0.0009864500222047513,-0.01280467000313519,-0.0253497901651885,-0.012740450158115557,-0.012935780154245843,-0.0011311101505514654,-0.013414010012733776,0.00039065999315752656,0.0001953299967777508,0.0014649750422704288,0.0010743150390342606,0.000976650037610508,0.0008789850352661276,0.00029299501274943605,0.00019533000857326099,9.76650043498396e-05,9.766500360974692e-05,0.0004883250183342168,0.00029299501080062135,0.0001953300071325945,9.76650035360331e-05,0.0002929950024866545,0.00019533000163987594,9.766500080539108e-05,-5.079620979693106,0.7627112043888865,0.42000956296380093,0.8055489095023798,0.5913603835950831,-0.008367488788560395,0.8055489094556216,0.042257255201847546,0.548522678372099,-0.008367488795818551,-0.008367488798711072,0.5056849732266815,0.04845416312969522,0.5913603836605739,-0.008367488808414496,-0.00836748882544904
5,2013-11-01 05:00:00,optimal,-4.426169337941304,-7.785975377292892e-14,0.11845816207323381,0.12196255207339005,0.0035043899999999987,1.140173470742409,1.1384212757434056,9.907731848383513e-13,0.0017521949999999994,47.97895316916118,67.89240876363883,3.761064376606171e-12,57.9356809664,47.9789531691721,47.97895316917182,47.978953169172215,47.97895316917053,47.97895316917094,47.97895316917164,47.97895316917226,47.97895316917282,47.97895316917565,47.97895316917513,47.97895316917706,47.97895316917849,47.97895316917949,47.978953169171774,47.97895316916395,47.97895316916463,0.005679999999999999,0.01962999999985255,0.06886999999999999,0.0037199999999999998,0.017900000000176972,0.0527,0.00608,0.017479999999848787,0.06688,0.00975,0.019800000000042936,0.057850000000000006,0.00174,0.007679999999681713,0.05104,0.0017599999999999998,0.005919999999604508,0.03564,0.0146,0.025229999999746955,0.05913,0.013600000000000001,0.029999999999975224,0.07440000000000001,0.018000000000140223,0.009999999999817216,0.01900000000014473,0.013999999999949124,0.019000000000308326,0.001346961270873984,0.013000000000377144,0.012000000000248087,0.0016155908011465125,0.014000000000019963,-2.4029206555196332e-15,1.6552633522128866e-14,5.06339507959779e-14,9.920942125561874e-14,1.0751365687368946e-13,1.0954319493796634e-13,1.1010197475061889e-13,1.0999600575664343e-13,1.0977931625510577e-13,-1.1537625252954884e-14,-0.11845816207331657,-0.08739266607328812,-0.07762629207347581,-0.058859918073335925,-0.01964608327129678,-0.01987970927117252,-0.0011133352708690807,-0.012766374000372166,-0.02544746080209487,-0.012914712801522442,-0.01314833880138445,-0.0013819648011414243,-0.013299121999893112,0.0004672520001219627,0.00023362600006582757,0.00175219499900354,0.0012849429989619438,0.0011681299989787996,0.0010513169990297876,0.0003504389996773826,0.00023362599978209915,0.00011681299989002887,0.00011681299988948044,0.0005840649994519845,0.0003504389996700454,0.00023362599977931172,0.00011681299988976068,0.0003504390000393971,0.00023362600002814737,0.00011681300001585934,-5.683498610621619,0.8524120261387246,0.4685804007698502,0.900390979308113,0.6604962134528675,-0.011209130906905578,0.900390979315962,0.05341666082285042,0.6125172603042313,-0.011209130903254264,-0.011209130906239474,0.5645383071288671,0.06630522447565276,0.6604962134562662,-0.011209130915570532,-0.011209130916034619
6,2013-11-01 06:00:00,optimal,-6.371717330276559,-6.024099683962137e-14,0.11666199624491169,0.12217674156416163,0.0055147453199999984,1.092702172436787,1.0899430199355076,-1.291354233636974e-12,0.0027591524999999997,65.41280626996118,85.32626186443883,-5.3004146211010905e-11,75.36953406720001,65.41280626997221,65.4128062699719,65.41280626997239,65.41280626996783,65.41280626996182,65.41280626996287,65.41280626996331,65.41280626996355,65.41280626996256,65.41280626996266,65.41280626996421,65.4128062699647,65.41280626996453,65.41280626997202,65.41280626997217,65.41280626997167,0.005679999999999999,0.019629999999708284,0.06886999999999999,0.0037199999999999998,0.017899999999946115,0.0527,0.00608,0.0174799999996759,0.06688,0.00975,0.019799999999886277,0.057850000000000006,0.00174,0.007679999999727264,0.05104,0.0017599999999999998,0.005919999999959869,0.03564,0.0146,0.025229999999911233,0.05913,0.013600000000000001,0.029999999999765485,0.07440000000000001,0.01800000000028595,0.010000000000049985,0.01900000000031871,0.014000000000106896,0.01900000000025932,0.0012848893080939865,0.013000000000022351,0.012000000000079517,0.0018918522547161309,0.014000000000231525,-1.5715291746522854e-14,-2.7229434951442918e-14,-4.961654540098738e-14,-1.198292130649456e-13,-1.2874277587983853e-13,-1.32499942854049e-13,-1.2809609297533904e-13,-1.315556259957138e-13,-1.3175256069361511e-13,-1.6578207535091403e-14,-0.11666199624492146,-0.08613265432424548,-0.07650009636414504,-0.05786753840377571,-0.01918167326852203,-0.01954956026845482,-0.0009170023081447408,-0.012632557960073131,-0.025053307175095994,-0.012788636214962795,-0.013156523214897105,-0.0015239652547668627,-0.012896783960339532,0.0007357739999424685,0.0003678869999980134,0.0027591525012792056,0.0020233785012208853,0.0018394350011941283,0.001655491501145204,0.0005518305003837066,0.0003678870002590769,0.00018394350013140723,0.00018394350012697618,0.0009197175006426783,0.0005518305003884528,0.00036788700026095213,0.0001839435001305681,0.0005518305000428522,0.0003678870000265379,0.00018394350001251379,-7.631188559440575,1.1533950979002412,0.6300926477250283,1.2188079041723563,0.8917438728086399,-0.024064521059165792,1.2188079041684714,0.059983694328469304,0.8263310665331374,-0.024064521059633703,-0.024064521059263235,0.7609182602669045,0.09968684396891513,0.8917438728167922,-0.024064521059909395,-0.024064521063413735
